character,series,wishlist
Elheim Triquincy,A Returner's Magic Should Be Special,0
Boromir Napolitan,A Returner's Magic Should Be Special,1
Raphael,A Returner's Magic Should Be Special,1
Pugman Pasehl Nifleka,A Returner's Magic Should Be Special,0
Natsumi,Date a Live III,30
Guiche de Gramont,The Familiar of Zero,1
Kabuto Yakushi,Naruto,9
Gray,Angels of Death,3
Mayoi Hachikuji,Bakemonogatari,47
Nagare Konoe,Mayo Chiki!,0
Ibaraki-Douji,Fate/Grand Order,5
Zoya,Akiba Maid War,2
Zeta,The Eminence in Shadow,126
Guy,A3! Season Autumn & Winter,2
Sugar,Urusei Yatsura,1
Montmorancy Monza,Epic Seven,1
Mel,Konosuba: Fantastic Days!,3
Chiyo Tsukidate,Strawberry Panic,1
Kaede Komura,The Girl I Like Forgot Her Glasses,10
Eliza,Epic Seven,1
Nakamura,Pluto,0
Rachel Gardner,Angels of Death,78
Alexiel,Granblue Fantasy,6
Jormungand,Dragon Goes House-Hunting,1
Mysterious Idol X (Alter),Fate/Grand Order,6
Hishi Amazon,Uma Musume: Pretty Derby,7
Last Piece Karin,Epic Seven,2
Strudel,Sweet Reincarnation,0
Tawashi,Pluto,0
Marta Lualdi,Tales of Symphonia: Dawn of the New World,5
Suzuna,Princess Connect! Re: Dive,2
Lucrezia Borgia,Fate/Requiem,1
Nanao Inusaka,Orient,2
Marie Fou Lafan,Trapped in a Dating Sim: The World of Otome Games is Tough for Mobs,1
Nashim,Dragon Goes House-Hunting,0
Schwartz von Liechtenstein Lohengramm,Life with an Ordinary Guy Who Reincarnated into a Total Fantasy Knockout,1
Seita Shiraishi,Kubo Won't Let Me Be Invisible,1
Arcana,Reverse: 1999,33
Momo Momozaki,"Play It Cool, Guys",1
Junki Tomita,Maesetsu! Opening Act,0
Linde,Fire Emblem: Shadow Dragon and the Blade of Light,1
Mike Nekotani,My Life as Inukai-san's Dog,23
Sergio,The Wrong Way to Use Healing Magic,1
Katsuho,Shangri-La Frontier,1
Nahkwol,Epic Seven,2
Kagerou,Summoned to Another World for a Second Time,0
Eru Amami,D_Cide Traumerei,3
Euryale,Fate/Grand Order,1
Mina Nono,Insomniacs After School,1
Kuromu,"Welcome to Demon School, Iruma-kun",1
Black Swan,Honkai: Star Rail,247
Saskia,Epic Seven,1
Pu Er Tea,Food Fantasy,1
Satomura Akane,ONE.,1
Zouken Matou,Fate/Zero,1
Leon Olfa,Reborn to Master the Blade: From Hero-King to Extraordinary Squire,1
Takurou Yamazaki,The Dreaming Boy is a Realist,0
Pufferfish Sashimi,Food Fantasy,1
Misato Katsuragi,Neon Genesis Evangelion,340
Tenji Mikasa,Tomodachi Game,6
Mamimi Samejima,FLCL,36
Kuroki,Tomodachi Game,1
Haruko Haruhara,FLCL,78
Excalibur,Soul Eater,24
Momoe Sawaki,Wonder Egg Priority,34
Genpou Saji,Ikkitousen: Great Guardians,1
Peter Grill,Peter Grill and the Philosopher's Time,1
Nanase Aasu,Puni Puni Poemy,1
Kou Yamori,Call of the Night,62
Lu Guang,Link Click,259
Funifura,KonoSuba: God's blessing on this wonderful world! Legend of Crimson,1
Ryuji Danma,Great Teacher Onizuka,1
Rin,Shelter,52
Arnes,KonoSuba: An Explosion on this Wonderful World!,4
Natsumi Kurobe,My Senpai is Annoying,30
Doris Lang,Vampire Hunter D,1
Maizuru,Dungeon Meshi,2
Minato Asuka,Otome * Domain,1
Aria Shichijou,Seitokai Yakuindomo,1
Seele,Honkai: Star Rail,237
Jae-Ha,Yona of the Dawn,24
Maki Sanjou,Maki-chan to Now.,22
Northern Alistair,Berserk of Gluttony,1
Dean,The Demon Sword Master of Excalibur Academy,0
Ramona Wolf,World Dai Star,1
Nina Fortner,Monster,23
Eden,Honkai Impact 3rd,21
Gilgu,The Wrong Way to Use Healing Magic,0
Aika Natsukawa,The Dreaming Boy is a Realist,16
Albertina II,Himegoto,1
Piccolo,Dragon Ball,75
Light-Haired Harpy,Dragon Goes House-Hunting,1
Yuuri,Girls' Last Tour,57
Cielo,Konosuba: Fantastic Days!,1
Usagi,Bubble,1
Suzuno Kamazuki,The Devil Is a Part-Timer!,4
Holm,Dungeon Meshi,2
Golem,The Unwanted Undead Adventurer,0
Seijuro Hiko,Rurouni Kenshin,5
Apocalypse Ravi,Epic Seven,4
Baragon,Majo Koi Nikki,1
Faputa,Made in Abyss: The Golden City of the Scorching Sun,108
Arthur Pencilgon,Shangri-La Frontier,104
Hayato Matsura,"Josee, the Tiger and the Fish",1
Oden Kozuki,One Piece,42
Tamahiko Shima,Taisho Otome Fairy Tale,1
Sui,Campfire Cooking in Another World with My Absurd Skill,65
Negative Weiss,RWBY: Ice Queendom,9
Nene Sakura,New Game!,1
Haru Nabatame,Shine Post,4
Keisuke Baji,Tokyo Revengers,270
Élisabeth II,Parallel World Pharmacy,1
Gilzea,Ragna Crimson,3
Bianca (Abystigma),Punishing Gray Raven,28
Korisu's Doll,Gushing over Magical Girls,1
Seria,Shadowverse,1
Kalluto Zoldyck,Hunter x Hunter,22
Professor Abullah,Pluto,1
Haru Kagurano,Rikei ga Koi ni Ochita no de Shoumei shitemita. Heart,1
Junpei Yoshino,Jujutsu Kaisen,38
Kars,JoJo's Bizarre Adventure,63
Oratoria Belgam,Am I Actually the Strongest?,1
Zamasu,Dragon Ball Super,7
Coin Bug,Dungeon Meshi,1
Whitesnake,JoJo's Bizarre Adventure: Stone Ocean,19
Miina Hirose,Shine Post,1
Red Wine,Food Fantasy,5
Mr. Tansu,Dungeon Meshi,1
Gloria Brigandine,My One-Hit Kill Sister,1
Eekhout,The Kingdoms of Ruin,1
Donachel Mille Hubarek,Sweet Reincarnation,1
Nagisa Natsunagi,The Detective is Already Dead,20
Sasaki's Mother,The Dreaming Boy is a Realist,1
Prototype 71 Balzinack,The Wrong Way to Use Healing Magic,1
Kenichiro Ryuzaki,Zom 100: Bucket List of the Dead,47
Kaya,WorldEnd: What do you do at the end of the world? Are you busy? Will you save us?,1
Heihachi Mishima,Tekken 1,11
Mokujin,Tekken 3,3
Lei Wulong,Tekken 2,1
Nina Williams,Tekken 1,10
Lee Chaolan,Tekken 1,5
Paul Phoenix,Tekken 1,3
Kuma II,Tekken 3,3
Mud Digger,Shangri-La Frontier,0
Hen Jin,Star Wars: Visions,1
Orcelott,Shangri-La Frontier,1
F,Star Wars: Visions,14
Astaroth,Soulcalibur,1
Zeus,Record of Ragnarok,9
Sill Plain,Rance 01: The Quest for Hikari,5
Izanagi,Persona 4: The Golden Animation,5
Kintoki-Douji,Persona 4 the Animation,1
Konohana Sakuya,Persona 4 the Animation,1
Kuma,Persona 4 the Animation,12
Himiko,Persona 4 the Animation,1
Sukuna Hikona,Persona 4 the Animation,1
Risette's Agent,Persona 4 the Animation,1
Take Mikazuchi,Persona 4 the Animation,1
Tohru Adachi,Persona 4 the Animation,34
Aika Nakamura,Persona 4 the Animation,1
Fuuka Yamagishi,Persona 3 the Movie 2: Midsummer Knight's Dream,35
Elizabeth,Persona 3 the Movie 2: Midsummer Knight's Dream,18
Yukari Takeba,Persona 3 the Movie 2: Midsummer Knight's Dream,63
Lil,My Unique Skill Makes Me OP Even at Level 1,0
Sapphie,Jewelpet Sunshine,2
Tao Ukegawa,Insomniacs After School,1
Mayu Hinagata,Iwaihime,1
Kuro,Farming Life in Another World,1
Faraday,Cyberpunk: Edgerunners,6
MaxTac Officer,Cyberpunk: Edgerunners,1
Bon Jovina,Bastard!!,1
Mai,Avatar: The Last Airbender,32
Youichi Fukushima,Ashita no Joe,1
Maya Fey,Ace Attorney,35
Masaru Rokuta,16bit Sensation: Another Layer,0
Konoha Akisato,16bit Sensation: Another Layer,7
Darkness,KonoSuba: God's blessing on this wonderful world!,309
Shen Xiang,Undead Unluck,16
Eve Callusleader,My Unique Skill Makes Me OP Even at Level 1,6
Rui Haida,Insomniacs After School,0
Priscilla Heisilgard,A Returner's Magic Should Be Special,1
Yunnan Noodles,Food Fantasy,2
Fahkumram,Tekken 7,2
Kurenai Yuuhi,Naruto,7
Ryou Yamada,Bocchi the Rock!,406
Azucena Ortiz,Tekken 8,9
Mineko,Summoned to Another World for a Second Time,1
Shuuichirou Asanaga,Newton to Ringo no Ki,0
Arowell,Epic Seven,0
Ultimatia,Ragna Crimson,7
Dorothea,The Kingdoms of Ruin,1
Shishinmai Rinka,Fatal Twelve,1
Priestess,Goblin Slayer,23
Alice Asmodeus,"Welcome to Demon School, Iruma-kun",61
Rimu,Dragon Goes House-Hunting,0
Shiryuu,One Piece,2
Aguri Sakurano,Gamers!,5
Baccarat,One Piece Film: Gold,1
Mami Tomoe,Puella Magi Madoka Magica,102
Roberta,Black Lagoon,34
Apoo Scratchmen,One Piece,1
Fish and Chips,Food Fantasy,2
Yan Qing,Fate/Grand Order,8
Kenta Usui,Karin,2
Kawerik Vian,Epic Seven,3
ae-WINTER,Epic Seven,38
Ono,Keep Your Hands Off Eizouken!,1
Fairy Knight Lancelot,Fate/Grand Order,33
Storage Papillon,Shangri-La Frontier,1
Yuti,"I Got a Cheat Skill in Another World and Became Unrivaled in The Real World, Too",1
Jinpachi Ego,Blue Lock,26
Yuuna Yunohana,Yuuna and the Haunted Hot Springs,19
Nishio Nishiki,Tokyo Ghoul,9
Moeka Kiryuu,Steins;Gate,11
Reinwood,Epic Seven,1
Yamato,The Kingdoms of Ruin,0
Towa Amane,Shangri-La Frontier,10
Sharnak,The Demon Sword Master of Excalibur Academy,2
Silva Ayren,Reborn to Master the Blade: From Hero-King to Extraordinary Squire,1
Margarita,Food Fantasy,2
Koutarou Amon,Tokyo Ghoul,11
Mio Stout,Atelier Ryza: Ever Darkness & the Secret Hideout,1
Fallen Female Robin,Fire Emblem Awakening,8
Gin,Food Fantasy,1
Atsushi Murasakibara,Kuroko's Basketball,58
Darius Grenville,Reign of the Seven Spellblades,0
Jemmie,Fire Emblem: Hasha no Tsurugi,1
Tia,Overlord II,1
Creed Deckard,Undead Unluck,1
Bruce Irvin,Tekken 2,1
Bow,Undead Unluck,1
Palpol,The Kingdoms of Ruin,0
Pencil Knight,Shangri-La Frontier,3
Aqua,KonoSuba: God's blessing on this wonderful world!,458
Qu (Pavo),Punishing Gray Raven,14
Ojisan,Uncle from Another World,22
Kei Uomi,Shangri-La Frontier,2
Alice Bedford,Newton to Ringo no Ki,1
Karin,Naruto Shippuden,6
Edmond Dantès,Fate/Grand Order,20
Nue Houjuu,Touhou Project,5
Mysterious Alter Ego Lambda,Fate/Grand Order,11
Marie Rose,Dead or Alive 5 Ultimate Arcade,37
Maria Mizuse,Tomodachi Game,10
William Richmond,The Demon Sword Master of Excalibur Academy,0
Cassandra,Dragon Goes House-Hunting,1
Rima,Epic Seven,1
Hashirama Senju,Naruto,19
Nobuto Matori,My Home Hero,0
Ver,Stella of the End,1
Akira's Mother,Undead Unluck,1
Haru,Berserk of Gluttony,1
Jude Gray,Stella of the End,1
Yumechi,Akiba Maid War,4
Spoil,Undead Unluck,1
Fern,Neural Cloud,1
Kallen Stadtfeld,Code Geass: Lelouch of the Rebellion,135
Hana Tojo,Uma Musume: Pretty Derby,1
Davernoch,Overlord II,1
Secondale Blacksmith,Shangri-La Frontier,1
Himeko,Honkai: Star Rail,227
Elza,The Demon Sword Master of Excalibur Academy,1
Hien,Dungeon Meshi,1
Archer,Dragon Goes House-Hunting,0
Medicine Melancholy,Touhou Project,1
Shinsuke Takasugi,Gintama,22
Candy Cane,Food Fantasy,5
Orga Fleur,The Wrong Way to Use Healing Magic,1
Korisu's Mother,Gushing over Magical Girls,1
Saloon Owner,Undead Unluck,0
Iris,Konosuba: Fantastic Days!,6
Roger,Tekken 2,1
Kathrina Griebel,World Dai Star,1
Tsaindorcus Vaision,Overlord IV,1
Felbegoth,Ragna Crimson,1
Kujou Sara,Genshin Impact,69
Yume's Mother,The Masterful Cat Is Depressed Again Today,1
Fuuko Izumo,Undead Unluck,112
Yuel,Granblue Fantasy the Animation,15
Ratatouille,Food Fantasy,1
Andy,Undead Unluck,89
Petra Gurin,Nijisanji EN,16
Little-Winguard,Yu-Gi-Oh! Duel Monsters,1
Laia,Epic Seven,1
Kraureit Roheil,Epic Seven,1
T-BIT,LUNARiA -Virtualized Moonchild-,1
Kobold Warrior,Berserk of Gluttony,0
Gracefeel,The Faraway Paladin,3
Camus,Undead Unluck,1
Ayato Kirishima,Tokyo Ghoul,36
Botan,Yu Yu Hakusho,38
Sakamoto,Nichijou - My Ordinary Life,24
Bisco Akaboshi,Sabikui Bisco,32
Nia Teppelin,Tengen Toppa Gurren Lagann,48
Suruga Kanbaru,Bakemonogatari,38
Shana,Shakugan no Shana,24
Adachi Sakura,Adachi to Shimamura,33
Meme,Me! Me! Me!,27
Merlin,Fate/Grand Order,32
Haru Okumura,Persona 5 the Animation,33
Bardock,Dragon Ball Z,31
Yotsugi Ononoki,Nisemonogatari,39
Laxus Dreyar,Fairy Tail,39
Canute,Vinland Saga,39
Karino Shuka,Darwin's Game,34
Shin,Dorohedoro,48
Lio Fotia,Promare,37
Pen Pen,Neon Genesis Evangelion,29
Might Guy,Naruto,32
Android 18,Dragon Ball Z,55
Kazuma Kuwabara,Yu Yu Hakusho,41
Kouko Kaga,Golden Time,39
Gajeel Redfox,Fairy Tail,39
Hanabi Yasuraoka,Scum's Wish,37
Skull Knight,Berserk: Golden Age Arc III - The Advent,31
Asuka Tanaka,Sound! Euphonium,44
Nico,Nanbaka,39
Tae Takemi,Persona 5 the Animation,51
Tsumiki Miniwa,Place to Place,36
Yuri Honjou,High-Rise Invasion,37
Uki Violeta,Nijisanji EN,28
Sayuki Tokihara,"Hensuki: Are you willing to fall in love with a pervert, as long as she's a cutie?",45
Miku,Heion Sedai no Idaten-tachi,29
Iggy,JoJo's Bizarre Adventure: Stardust Crusaders,45
Tia Harribel,Bleach,95
Luna Bianca,Epic Seven,36
Android 21 (Evil),Dragon Ball FighterZ,39
Medicine Seller,Mononoke,90
Licht Bach,Plunderer,35
Kiwi,Cyberpunk: Edgerunners,30
Leona Kingscholar,Twisted Wonderland,78
Balalaika,Black Lagoon,63
Shinya Hiiragi,Seraph of the End: Battle in Nagoya,28
Genryuusai Yamamoto,Bleach,45
Dark Sakura,Fate/stay night: Heaven's Feel II. lost butterfly,53
Keisuke's FD RX7,Initial D,43
Gold Experience Requiem,JoJo's Bizarre Adventure: Golden Wind,41
Shun Hashimoto,Umibe no Étranger,42
Chihiro Fujisaki,Danganronpa: The Animation,45
Gin,Hotarubi no Mori e,43
Damian Desmond,Spy x Family,35
Rit,"Banished from the Hero's Party, I Decided to Live a Quiet Life in the Countryside",46
Airi Sakura,Classroom of the Elite,39
Claude von Riegan,Fire Emblem: Three Houses,41
Satoru Fujinuma,ERASED,52
Yoko Kurama,Yu Yu Hakusho,60
Olga Discordia,Kuroinu: Kedakaki Seijo wa Hakudaku ni Somaru,50
Ozen,Made in Abyss,58
Rise Kujikawa,Persona 4 the Animation,72
Hajime Hinata,Danganronpa 2: Goodbye Despair,40
Vaporeon,Pokémon,50
Kaiman,Dorohedoro,68
Yhwach,Bleach: Sennen Kessen-hen,84
Diane,The Seven Deadly Sins,76
Ryuji Sakamoto,Persona 5 the Animation,77
Shota Kazehaya,Kimi ni Todoke - From Me to You,72
Honami Ichinose,Classroom of the Elite,71
Evangelion Unit 01,Neon Genesis Evangelion,72
Hiei,Yu Yu Hakusho,92
Malleus Draconia,Twisted Wonderland,103
Zero Kiryu,Vampire Knight,111
Ritsuka Uenoyama,Given,93
Miu Iruma,Danganronpa V3: Killing Harmony,75
Nicholas D. Wolfwood,Trigun,101
Hachiman Hikigaya,My Teen Romantic Comedy SNAFU,113
Takagi,Karakai Jouzu no Takagi-san,90
Ayumu Kasuga,Azumanga Daioh,85
Black Hanekawa,Bakemonogatari,122
Tsukasa Yugi,Toilet-Bound Hanako-kun,101
Cynthia,Pokémon: Diamond & Pearl,160
Rui Tachibana,Domestic Girlfriend,119
Bronya Zaychik,Honkai Impact 3rd,89
Aika,Ane wa Yanmama Junyuu-chuu,142
Zenobia,Fate/Grand Order,111
Eiko Tsukimi,Ya Boy Kongming!,127
Saeko Busujima,Highschool of the Dead,140
Kamina,Tengen Toppa Gurren Lagann,254
Goro Akechi,Persona 5 the Animation,165
Takumi Usui,Kaichou wa Maid-sama!,132
Escanor,The Seven Deadly Sins: Signs of Holy War,205
Junko Enoshima,Danganronpa: The Animation,150
Goblin Slayer,Goblin Slayer,175
Faye Valentine,Cowboy Bebop,228
Mary Saotome,Kakegurui,132
Alice Synthesis Thirty,Sword Art Online: Alicization,226
Jin Mori,The God of High School,215
Vash the Stampede,Trigun,282
Tatsumaki,One-Punch Man,279
Josuke Higashikata,JoJo's Bizarre Adventure: Diamond Is Unbreakable,296
March 7th,Honkai: Star Rail,271
Yoimiya,Genshin Impact,325
Mash Burnedead,Mashle,348
Himeno,Chainsaw Man,402
Aquamarine Hoshino,Oshi no Ko,437
Erza Scarlet,Fairy Tail,649
Himiko Toga,My Hero Academia 2,614
Hitori Gotou,Bocchi the Rock!,959
Furina,Genshin Impact,1133
Urushi Yaotome,When Will Ayumu Make His Move?,19
Park Ha Neul,Lookism,7
Shougo Nakanoshima,Great Pretender,0
Ninny Spangcole,BURN THE WITCH,23
Duke's Grandma,Lookism,1
Fiene,Endo and Kobayashi Live! The Latest on Tsundere Villainess Lieselotte,1
Honoka Matsubara,Hello!! Kiniro Mosaic,1
Brown-Haired Teacher,Love Flops,0
Mirei Watanuki,Nozo x Kimi,1
Cloe,Kuroinu: Kedakaki Seijo wa Hakudaku ni Somaru,24
Hirotoshi Buratsuta,Blue Lock,1
Freya,Brynhildr in the Darkness,1
Cynthia Moore,Great Pretender,8
Ishigami,Great Pretender,1
Noriko,Golden Boy,1
Mary Bult,Magatsu Wahrheit,0
Kazuha's Mother,Yosuga no Sora,1
Maya,Berserk of Gluttony,1
Karen Kujou,Kiniro Mosaic,12
Yahiro Ifukube,Yosuga no Sora,1
Tenshi Hinanawi,Touhou Project,9
Marie,Great Pretender,1
Hana Ichijou,Ao Ashi,10
Junichi Wanima,Blue Lock,2
Mine,Pluto,0
Jang Ki-Seok,Lookism,0
Charlotte Elbourne,Vampire Hunter D: Bloodlust,2
Iskandar,Fate/Zero,25
Arnold,Pluto,0
Housen Ryofu,Ikkitousen,1
Sakura Karasuma,Kiniro Mosaic,1
Nozomi Komine,Nozo x Kimi,1
Haruka Kasugano,Yosuga no Sora,6
Kintaro Oe,Golden Boy,10
Aya Shameimaru,Touhou Project,12
Sayuri,Dead or Alive Xtreme Venus Vacation,6
Karin Istel,Love Flops,3
Akira Tendou,Zom 100: Bucket List of the Dead,80
Seiji Ozaki,Great Pretender,1
Shinobu Oomiya,Kiniro Mosaic,1
Ui Wakana,Okusama ga Seito Kaichou!,2
Oliver Horn,Reign of the Seven Spellblades,7
Youko Inokuma,Kiniro Mosaic,2
Makoto Edamura,Great Pretender,26
Angel,Tekken 2,1
Madame President,Golden Boy,1
Eddie Cassano,Great Pretender,1
Jack-6,Tekken 6,1
Misaki,Dead or Alive Xtreme Venus Vacation,2
Ruu Ruu,Kuroinu: Kedakaki Seijo wa Hakudaku ni Somaru,4
Sagami Okamoto Deluxe,Love Flops,1
Excel,Excel Saga,3
Tsukiji Tae,Muv-Luv ALTERED FABLE,1
Koharu,Dead or Alive Xtreme Venus Vacation,1
Chisato Ichijiku,Brynhildr in the Darkness,1
Kozue Kuranaga,Yosuga no Sora,1
Tadaaki Kusano,Great Teacher Onizuka,1
Empel Vollmer,Atelier Ryza: Ever Darkness & the Secret Hideout,2
Kotonoha Katsura,School Days,24
Yoshio Ijuin,Love Flops,1
Bryan Fury,Tekken 3,5
Robita,Pluto,1
Amelia Irving,Love Flops,4
Chii,Tsubasa Reservoir Chronicle 2nd Season,2
Theodore McFarlane,Reign of the Seven Spellblades,0
Pochita,My Life as Inukai-san's Dog,5
Amelia Ann McFly,Trigun: Badlands Rumble,1
Shiro,Heavenly Delusion,1
Seiichi Sakonji,Maki-chan to Now.,1
Isabelle Mueller,Great Pretender,1
Dorothy,Great Pretender,3
Mimihime,Heavenly Delusion,10
Kouzuki Mio,ONE.,1
Sakaki Chizuru,Muv-Luv,3
Susumu Shikiri,Excel Saga,1
Mika Iwakura,Serial Experiments Lain,2
Aoi Izumisawa,Love Flops,1
Gomez,Excel Saga,0
Hinako Shirai,Blue Reflection,9
Chuuei Toutaku,Ikkitousen,1
Leila,Vampire Hunter D: Bloodlust,3
Maho Izawa,His and Her Circumstances,1
Haya Magari,Insomniacs After School,1
Tokio,Heavenly Delusion,1
Kimio Suga,Nozo x Kimi,0
Akari Kuzehashi,Hello!! Kiniro Mosaic,1
Misato,Ray the Animation,0
Farrah Brown,Great Pretender,1
Asahi Kashiwagi,Love Flops,1
Kudou,Great Pretender,1
Rita Vrataski,All You Need Is Kill,12
Keiji Kiriya,All You Need Is Kill,6
Purson Soi,"Welcome to Demon School, Iruma-kun",4
King,One-Punch Man,15
Fuka Sasaki,The Dreaming Boy is a Realist,1
Sawae,Uncle from Another World,1
Kung Pao Chicken,Food Fantasy,1
Stray Cat,JoJo's Bizarre Adventure: Diamond Is Unbreakable,1
Carlos Whitrow,Reign of the Seven Spellblades,1
Katsushika Hokusai (Saber),Fate/Grand Order,7
Acra,Tower of Druaga: the Sword of Uruk,0
Set,Berserk of Gluttony,1
Mentaiko,Food Fantasy,1
Goblin,The Unwanted Undead Adventurer,1
Baron Sierra,Ragna Crimson,1
Asuka Kawato,The Girl I Like Forgot Her Glasses,1
Lemon Irvine,Mashle,20
Sunraku,Shangri-La Frontier,291
Yasuomi Ono,Ryman's Club,1
Mundane Mann,The Eminence in Shadow,9
Excarat,Wuthering Waves,1
Mudkip,Pokémon Advanced,27
Pine & Crane Longevity,Food Fantasy,1
Dornea,Ragna Crimson,1
Kayria,A Returner's Magic Should Be Special,1
Noritoshi Kamo,Jujutsu Kaisen,16
Vysache,Shangri-La Frontier,13
Reyes,My Unique Skill Makes Me OP Even at Level 1,0
Theresia van Astrea,Re:ZERO -Starting Life in Another World-,5
Sabyr Boar,Wuthering Waves,0
Shimadra,Epic Seven,1
Koichi Hirose,JoJo's Bizarre Adventure: Diamond Is Unbreakable,36
Sae Itoshi,Blue Lock,155
Ortlinde,Fate/Grand Order,1
Fischl,Genshin Impact,135
Suigetsu Hozuki,Naruto Shippuden,10
Morgana,Persona 5 the Animation,33
Doremy Sweet,Touhou Project,4
Lifestide Salmon,Shangri-La Frontier,1
Makoto,Princess Connect! Re: Dive,7
Hidan,Naruto Shippuden,28
Peking Duck,Food Fantasy,4
Yugo Robles,Ragna Crimson,0
Male Corrin,Fire Emblem Fates,8
Nfirea Bareare,Overlord,1
Bookstore Owner's Wife,The Dreaming Boy is a Realist,1
See Em,Obey Me!,1
Ryuuto Kashima,Our Dating Story: The Experienced You and The Inexperienced Me,2
Luocha,Honkai: Star Rail,92
Mimic Chest,Dragon Goes House-Hunting,1
Lost Child,Ragna Crimson,1
Imina,Overlord III,1
Dragon King Sharun,Epic Seven,1
Bugbear's Child,Dragon Goes House-Hunting,0
Conpoy,Food Fantasy,2
Baek Doo San,Tekken 2,1
Nurugai,Hell's Paradise: Jigokuraku,14
Shyarly,One Piece,2
Uke Mochi,Food Fantasy,1
Hyouko Orihara,Meikei no Lupercalia,1
Salty Tofu,Food Fantasy,3
Feng Wei,Tekken 5,1
Bin Tabata,My Home Hero,0
Red,Undead Unluck,1
Leila Mirah,Undead Unluck,1
Chikara's Mother,Undead Unluck,1
Ibuki-Douji,Fate/Grand Order,7
Mirae,Closers,38
Shigure Fudeshima,World Dai Star,1
Ririka Momobami,Kakegurui,70
Mao Kurose,Our Dating Story: The Experienced You and The Inexperienced Me,1
Chouji Akimichi,Naruto,3
Seiya Ryuuguuin,Cautious Hero: The Hero Is Overpowered but Overly Cautious,24
Empire Worker Bee,Shangri-La Frontier,1
Agatha Harmon,Atelier Ryza: Ever Darkness & the Secret Hideout,1
Nemo Anemo,Gushing over Magical Girls,5
Esmeralda Catena Drakrug,Reign of the Seven Spellblades,1
Natsuna Hanabishi,Gushing over Magical Girls,1
Natasha,Honkai: Star Rail,24
Arjuna (Alter),Fate/Grand Order,24
Peira,Epic Seven,2
Iguvua=41,Overlord II,1
Jenua,Epic Seven,2
Altera,Fate/Grand Order,9
Passionlip,Fate/EXTRA CCC,54
Anju Emma,86 EIGHTY-SIX,42
Zeno,Epic Seven,0
Kazuki Kurusu,Buddy Daddies,40
Uriel,The Seven Heavenly Virtues,6
Kohaku Kakehashi,Meikei no Lupercalia,1
Fashion Designer,"Play It Cool, Guys",1
Penelope Travanti,Epic Seven,1
Cream of Mushroom Soup,Food Fantasy,1
IRyS,Hololive EN,103
Ludwig,Epic Seven,1
Hamsuke,Overlord,7
Brandy,Food Fantasy,2
Hashimoto,16bit Sensation: Another Layer,0
Kizaru,One Piece,30
Longxi Cured Ham,Food Fantasy,1
Daiyana,Aku no Onna Kanbu: Full Moon Night,8
Chloe,Epic Seven,1
Game Shop BIBI Owner,16bit Sensation: Another Layer,0
Iela,Epic Seven,1
Bunny Bunny,Reverse: 1999,4
Dugong,World Dai Star,1
Lesedi Ingwe,Reign of the Seven Spellblades,1
Sukuna's Finger,Jujutsu Kaisen,31
Shura Kirigakure,Blue Exorcist,29
Sarina Tendoji,Oshi no Ko,1
Mahiru Tsuyuzaki,Shoujo Kageki Revue Starlight,6
Chasm Guardian,Wuthering Waves,1
Isuzu Sohma,Fruits Basket,28
Thomas,The Wrong Way to Use Healing Magic,1
Hang Wolf,The Wrong Way to Use Healing Magic,1
Fressher,Atelier Ryza: Ever Darkness & the Secret Hideout,1
Nanami Aoyama,The Pet Girl of Sakurasou,10
Youji,Amazing Grace -What color is your attribute?-,0
Qoo,Majo Koi Nikki,1
Venalita,Gushing over Magical Girls,2
Wataru Sajou,The Dreaming Boy is a Realist,5
Nico Vorgeil,Undead Unluck,9
Invar,Dungeon Meshi,1
Rachel Sandwich,Food Fantasy,1
Soka Senbei,Food Fantasy,1
Angel Devil,Chainsaw Man,443
Natsukawa's Mother,The Dreaming Boy is a Realist,1
Orange Juice,Food Fantasy,4
Goddess of Love and Beauty,Life with an Ordinary Guy Who Reincarnated into a Total Fantasy Knockout,1
Closer Charles,Epic Seven,1
Schneider Halfen,Am I Actually the Strongest?,1
Hero,Dragon Goes House-Hunting,0
Void Volks,Undead Unluck,1
Utsumi Erice,Fate/Requiem,1
Sean Datz,Undead Unluck,1
Clothes,Undead Unluck,1
Morel McCarnathy,Hunter x Hunter (2011),5
Robert,Dragon Goes House-Hunting,0
Chaos Inquisitor,Epic Seven,1
Raksha,Ragna Crimson,0
William G. Maryblood,The Faraway Paladin,18
Chizuru Hishiro,ReLIFE,31
Free Spirit Tieria,Epic Seven,1
Yuyu Inatomi,The Dreaming Boy is a Realist,1
Mii,Undead Unluck,1
Cruisewing,Wuthering Waves,1
Auctioneer,Undead Unluck,1
Sunflower Nursery Teacher,Undead Unluck,1
Victor,Undead Unluck,10
Kotoha,Amazing Grace -What color is your attribute?-,1
Young Roseshroom,Wuthering Waves,1
Ains,Epic Seven,1
Move,Undead Unluck,1
Acks Leader,Undead Unluck,1
Ibaraki-Douji's Arm,Touhou Project,1
Goblin Berserker,Shangri-La Frontier,0
Rudolph Lanchester,Berserk of Gluttony,0
Dust,Konosuba: Fantastic Days!,1
Ryo,Undead Unluck,1
Mui,Undead Unluck,4
Cell,Dragon Ball Z,83
Urumi Ushizaki,Touhou Project,1
Itsuki Nakano,The Quintessential Quintuplets,582
Kanta Higurashi,Zom 100: Bucket List of the Dead,2
Kayron,Epic Seven,7
Seiji Minamoto,Police in a Pod,0
Corroded Elizabeth,Fate/EXTELLA,1
Kirin,Shangri-La Frontier,1
