character,series,wishlist
Mika Kagehira,Ensemble Stars!,60
ae-NINGNING,Epic Seven,30
Okarun,Dandadan,766
Xuanzang Sanzang,Fate/Grand Order,8
Kirei Kotomine,Fate/stay night,34
Ludmilla,Nikke: Goddess of Victory,3
Aramintha,Epic Seven,1
Irisviel von Einzbern,Fate/Zero,12
Ellenor Ljos Alf,Wistoria: Wand and Sword,4
Wignall Lindor,Wistoria: Wand and Sword,8
Rakugan,Food Fantasy,1
Newbie Succubus,KonoSuba: God's blessing on this wonderful world!,11
Tamamo-no-Mae,Fate/EXTRA,62
Tteokguk,Food Fantasy,1
Nachi,Senran Kagura: New Wave G Burst,1
Yamada Asaemon Shion,Hell's Paradise: Jigokuraku,67
Siobhan,Honkai: Star Rail,2
Natsuki,Doki Doki Literature Club!,224
Shouko Nishimiya,A Silent Voice,426
Latla Mirah,Undead Unluck,7
Mihono Bourbon,Uma Musume: Pretty Derby Season 2,22
Ana,Fate/Grand Order,4
Ereshkigal,Fate/Grand Order,123
Mad Horiguchi,Sakamoto Days,1
Neon: Blue Ocean,Nikke: Goddess of Victory,12
Jean Junghardt,Metallic Rouge,0
Abyssal Yufine,Epic Seven,3
Yoshikage Kira,JoJo's Bizarre Adventure: Diamond Is Unbreakable,203
China Kuramoto,Gakuen iDOLM@STER,3
Kuesu Jinguuji,Omamori Himari,2
Ifrit,Final Fantasy XV,1
Yuitsuka Nozomi,Medalist,0
Shintarou Tamaki,Makeine: Too Many Losing Heroines!,0
Fighter C,Go! Go! Loser Ranger!,1
Karen Himemiya,Makeine: Too Many Losing Heroines!,4
Sumi Sakurasawa,"Kanojo, Okarishimasu",121
Aaron Masterias Oldking,Wistoria: Wand and Sword,1
Ochako Uraraka,My Hero Academia,228
Canon Tokeizaka,Majo Koi Nikki,1
Julia,Nikke: Goddess of Victory,6
Komachi Aizome,Go! Go! Loser Ranger!,1
Nagisa Minase,"Girlfriend, Girlfriend",27
Red's Charizard,Pokémon Origins,7
Kafka Hibino,Kaiju No. 8,308
Flay,Am I Actually the Strongest?,10
Ai Hoshino,Oshi no Ko,1139
Erika Akanishi,The iDOLM@STER: Cinderella Girls,2
Souji,Senran Kagura: New Wave,5
Ai Hayasaka,Kaguya-sama: Love Is War,402
Tonkotsu Ramen,Food Fantasy,1
Yuitsuka Inori,Medalist,36
Inoue Takina,Lycoris Recoil,359
Chiyo,Senran Kagura: New Wave,3
Shoyo Hinata,Haikyuu!!,546
Shenhe,Genshin Impact,404
Pastry,Epic Seven,1
Lakyus Alvein Dale Aindra,Overlord II,3
Fighter G,Go! Go! Loser Ranger!,1
Gyro Zeppeli,JoJo's Bizarre Adventure: Steel Ball Run,436
Mandarin Squirrel Fish,Food Fantasy,1
Kaleido Ruby,Fate/hollow ataraxia,1
Murasaki Shikibu,Fate/Grand Order,76
Baby Blue,Reverse: 1999,5
Meltryllis,Fate/EXTRA CCC,20
Hawks,My Hero Academia 4,248
Komurasaki,One Piece,9
Pulchra Fellini,Zenless Zone Zero,32
Demon King Nobunaga,Fate/Grand Order,34
Anka,Tower of Fantasy,5
Souffle,Food Fantasy,2
Pink Keeper,Go! Go! Loser Ranger!,2
Imhotep,Neural Cloud,2
Yuna Yunis,The Legendary Hero Is Dead!,29
Dio Brando,JoJo's Bizarre Adventure,728
Tsukasa Shippou,Go! Go! Loser Ranger!,2
Shougo Aoshima,Go! Go! Loser Ranger!,1
Soujirou Ishikawa,Go! Go! Loser Ranger!,0
Naon Yuno,Chained Soldier,12
Ranmaru Koguma,Go! Go! Loser Ranger!,1
Freia Arlgrande Jioral,Redo of Healer,29
Zygarde,Pokémon XY & Z,12
Alpha,The Eminence in Shadow,486
Elyha,Epic Seven,1
Fenne,Epic Seven,3
Vyv Dorden,Final Fantasy XV,0
Hibiki's Mother,Go! Go! Loser Ranger!,0
Mash Kyrielight,Fate/Grand Order,142
Galbrena,Wuthering Waves,182
Draggie-kun,Go! Go! Loser Ranger!,1
Yellow Keeper,Go! Go! Loser Ranger!,2
Strange White Cat,Wuthering Waves,1
Vatz,Gushing over Magical Girls,1
Katen,Bleach,5
Mari Makinami Illustrious,Evangelion: 2.0 You Can (Not) Advance,50
Ponzu,Hunter x Hunter,11
Caenis,Fate/Grand Order,13
Hakos Baelz,Hololive EN,155
Rebecca,Cyberpunk: Edgerunners,698
Altria Pendragon,Fate/Grand Order,47
Reno Ichikawa,Kaiju No. 8,117
Shinobu Kochou,Demon Slayer: Kimetsu no Yaiba,1288
Sense,Frieren: Beyond Journey's End,28
Zhu Yuan,Zenless Zone Zero,201
Ahn Yujung,Solo Leveling,0
Totoro,My Neighbor Totoro,155
Maki Zenin,Jujutsu Kaisen,747
Chongyun,Genshin Impact,109
Koseki Bijou,Hololive EN,123
Zhongli,Genshin Impact,676
Zeo Thorzeus Reinbolt,Wistoria: Wand and Sword,2
Marshall D. Teach,One Piece,53
Enmu,Demon Slayer: Kimetsu no Yaiba,52
Nodoka Toyohama,Rascal Does Not Dream of Bunny Girl Senpai,18
Soukaku,Zenless Zone Zero,27
Chikamaru-kun,My Deer Friend Nokotan,1
Pochita,Chainsaw Man,922
Birgitta,Epic Seven,1
Shiro,Tower of Fantasy,5
Happy Camera,Takopi’s Original Sin,1
Marina's Mother,Takopi’s Original Sin,2
Tsukasa Yuzaki,Tonikaku Kawaii,217
Mona,Genshin Impact,161
Osechi,Food Fantasy,1
Eden Varock,Metallic Rouge,1
Kiichi Hougen,Fate/Grand Order,1
Ran,Epic Seven,1
Komichi Akebi,Akebi's Sailor Uniform,58
Black Tea,Food Fantasy,11
Fighter Z,Go! Go! Loser Ranger!,1
Foie Gras,Food Fantasy,6
Kaede Makidera,Fate/stay night: Unlimited Blade Works,1
